# engine	entry	ratio	mode	metric	value
baseline-v1	sine220	0.8	repeat	trailing_silence	0.001250
baseline-v1	sine220	0.8	repeat	spectral_delta_db	0.000821
baseline-v1	sine220	0.8	repeat	level_delta_db	0.030858
baseline-v1	sine220	0.8	repeat	adv_sa_attack_ratio	0.140275
baseline-v1	sine220	0.8	repeat	sa_flatness_delta	0.000272
baseline-v1	sine220	0.8	repeat	sa_lufs_delta_db	0.028670
baseline-v1	sine220	0.9	repeat	trailing_silence	0.001111
baseline-v1	sine220	0.9	repeat	spectral_delta_db	0.001634
baseline-v1	sine220	0.9	repeat	level_delta_db	0.049724
baseline-v1	sine220	0.9	repeat	adv_sa_attack_ratio	0.162940
baseline-v1	sine220	0.9	repeat	sa_flatness_delta	0.000076
baseline-v1	sine220	0.9	repeat	sa_lufs_delta_db	0.053765
baseline-v1	sine220	1.1	repeat	trailing_silence	0.000909
baseline-v1	sine220	1.1	repeat	spectral_delta_db	0.012858
baseline-v1	sine220	1.1	repeat	level_delta_db	0.105548
baseline-v1	sine220	1.1	repeat	mod_expected_db	0.393896
baseline-v1	sine220	1.1	repeat	mod_band_peak_db	10.822307
baseline-v1	sine220	1.1	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	1.1	repeat	sine_sideband_db	-3.496234
baseline-v1	sine220	1.1	repeat	sine_thd_db	-71.190123
baseline-v1	sine220	1.1	repeat	adv_sa_attack_ratio	0.296531
baseline-v1	sine220	1.1	repeat	sa_flatness_delta	0.000818
baseline-v1	sine220	1.1	repeat	sa_lufs_delta_db	0.108591
baseline-v1	sine220	1.25	repeat	trailing_silence	0.000400
baseline-v1	sine220	1.25	repeat	spectral_delta_db	0.004189
baseline-v1	sine220	1.25	repeat	level_delta_db	0.071580
baseline-v1	sine220	1.25	repeat	mod_expected_db	-0.254795
baseline-v1	sine220	1.25	repeat	mod_band_peak_db	8.838236
baseline-v1	sine220	1.25	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	1.25	repeat	sine_sideband_db	21.345044
baseline-v1	sine220	1.25	repeat	sine_thd_db	-55.749104
baseline-v1	sine220	1.25	repeat	adv_sa_attack_ratio	0.263956
baseline-v1	sine220	1.25	repeat	sa_flatness_delta	0.000708
baseline-v1	sine220	1.25	repeat	sa_lufs_delta_db	0.078629
baseline-v1	sine220	1.5	repeat	trailing_silence	0.000667
baseline-v1	sine220	1.5	repeat	spectral_delta_db	0.004761
baseline-v1	sine220	1.5	repeat	level_delta_db	0.045894
baseline-v1	sine220	1.5	repeat	mod_expected_db	-4.405950
baseline-v1	sine220	1.5	repeat	mod_band_peak_db	3.999944
baseline-v1	sine220	1.5	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	1.5	repeat	sine_sideband_db	-2.029880
baseline-v1	sine220	1.5	repeat	sine_thd_db	-75.738393
baseline-v1	sine220	1.5	repeat	adv_sa_attack_ratio	0.211051
baseline-v1	sine220	1.5	repeat	sa_flatness_delta	0.000602
baseline-v1	sine220	1.5	repeat	sa_lufs_delta_db	0.045774
baseline-v1	sine220	2	repeat	trailing_silence	0.000500
baseline-v1	sine220	2	repeat	spectral_delta_db	0.011337
baseline-v1	sine220	2	repeat	level_delta_db	0.061131
baseline-v1	sine220	2	repeat	mod_expected_db	0.714705
baseline-v1	sine220	2	repeat	mod_band_peak_db	6.002415
baseline-v1	sine220	2	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	2	repeat	sine_sideband_db	17.764716
baseline-v1	sine220	2	repeat	sine_thd_db	-54.463357
baseline-v1	sine220	2	repeat	adv_sa_attack_ratio	0.314562
baseline-v1	sine220	2	repeat	sa_flatness_delta	0.001141
baseline-v1	sine220	2	repeat	sa_lufs_delta_db	0.056988
baseline-v1	sine220	4	repeat	trailing_silence	0.000250
baseline-v1	sine220	4	repeat	spectral_delta_db	0.009832
baseline-v1	sine220	4	repeat	level_delta_db	0.062903
baseline-v1	sine220	4	repeat	mod_expected_db	-17.025070
baseline-v1	sine220	4	repeat	mod_band_peak_db	6.544125
baseline-v1	sine220	4	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	4	repeat	sine_sideband_db	7.902274
baseline-v1	sine220	4	repeat	sine_thd_db	-68.879783
baseline-v1	sine220	4	repeat	adv_sa_attack_ratio	0.325036
baseline-v1	sine220	4	repeat	sa_flatness_delta	0.000496
baseline-v1	sine220	4	repeat	sa_lufs_delta_db	0.062984
baseline-v1	sine220	1.1	once	trailing_silence	0.023182
baseline-v1	sine220	1.1	once	mod_expected_db	13.721145
baseline-v1	sine220	1.1	once	mod_band_peak_db	21.788466
baseline-v1	sine220	1.1	once	mod_acf_peak	0.000000
baseline-v1	sine220	1.1	once	sine_sideband_db	-4.772543
baseline-v1	sine220	1.1	once	sine_thd_db	-78.543588
baseline-v1	sine220	1.1	once	adv_sa_attack_ratio	0.068198
baseline-v1	sine220	1.1	once	sa_flatness_delta	0.000868
baseline-v1	sine220	1.1	once	sa_lufs_delta_db	0.288406
baseline-v1	sine220	1.1	pingpong	trailing_silence	0.000909
baseline-v1	sine220	1.1	pingpong	spectral_delta_db	0.016435
baseline-v1	sine220	1.1	pingpong	level_delta_db	0.097811
baseline-v1	sine220	1.1	pingpong	mod_expected_db	6.211791
baseline-v1	sine220	1.1	pingpong	mod_band_peak_db	11.410000
baseline-v1	sine220	1.1	pingpong	mod_acf_peak	0.000000
baseline-v1	sine220	1.1	pingpong	sine_sideband_db	-3.617852
baseline-v1	sine220	1.1	pingpong	sine_thd_db	-74.008368
baseline-v1	sine220	1.1	pingpong	adv_sa_attack_ratio	0.336995
baseline-v1	sine220	1.1	pingpong	sa_flatness_delta	0.000910
baseline-v1	sine220	1.1	pingpong	sa_lufs_delta_db	0.097438
baseline-v1	sine220	1.25	once	trailing_silence	0.051600
baseline-v1	sine220	1.25	once	mod_expected_db	17.535236
baseline-v1	sine220	1.25	once	mod_band_peak_db	31.556754
baseline-v1	sine220	1.25	once	mod_acf_peak	0.000000
baseline-v1	sine220	1.25	once	sine_sideband_db	14.079166
baseline-v1	sine220	1.25	once	sine_thd_db	-63.443861
